"Date","danger_ratings","squam_SWE","Squam_Daily_tot_precip","Squam_Two_day_tot_precip","Squam_Three_day_tot_precip","nos_SWE","Nos_Daily_tot_precip","Nos_Two_day_tot_precip","Nos_Three_day_tot_precip","squam_daily_max_temp","squam_daily_min_temp","squam_daily_mean_temp","squam_two_day_max_temp","squam_two_day_min_temp","squam_two_day_mean_temp","squam_three_day_max_temp","squam_three_day_min_temp","squam_three_day_mean_temp","nos_daily_max_temp","nos_daily_min_temp","nos_daily_mean_temp","nos_two_day_max_temp","nos_two_day_min_temp","nos_two_day_mean_temp","nos_three_day_max_temp","nos_three_day_min_temp","nos_three_day_mean_temp","Daily_max_wind","Daily_mean_wind","Two_Day_max_wind","Two_Day_mean_wind","Three_Day_max_wind","Three_Day_mean_wind"
2011-11-17,3,176.291021671827,31.0371517027864,39.7275541795665,39.7275541795665,51,16,26,27,-1.9,-7.5,-5.01666666666667,-1.9,-9.5,-6.42916666666667,-1.8,-9.5,-6.54722222222222,-1.6,-8.7,-5.07083333333333,-1.6,-8.7,-5.19583333333333,-1.6,-11.3,-5.76388888888889,11,4.125,11,2.5625,11,2.34722222222222
2011-11-18,3,176.291021671827,0,31.0371517027864,39.7275541795665,51,2,18,28,-1,-9.3,-7.22916666666667,-1,-9.3,-6.12291666666667,-1,-9.5,-6.69583333333333,-8.7,-13.6,-12.0166666666667,-1.6,-13.6,-8.54375,-1.6,-13.6,-7.46944444444444,6,1.91666666666667,11,3.02083333333333,11,2.34722222222222
2011-11-19,3,176.291021671827,0,0,31.0371517027864,51,4,6,22,-0.1,-14.9,-10.0708333333333,-0.1,-14.9,-8.65,-0.1,-14.9,-7.43888888888889,-6.8,-22.4,-16.5041666666667,-6.8,-22.4,-14.2604166666667,-1.6,-22.4,-11.1972222222222,4,2.5,6,2.20833333333333,11,2.84722222222222
2011-11-20,2,176.291021671827,0,0,0,55,4,8,10,-6.4,-12.7,-10.6625,-0.1,-14.9,-10.3666666666667,-0.1,-14.9,-9.32083333333333,-4.6,-13.1,-9.17083333333333,-4.6,-22.4,-12.8375,-4.6,-22.4,-12.5638888888889,4,1,4,1.75,6,1.80555555555556
2011-11-21,3,187.46439628483,11.1733746130031,11.1733746130031,11.1733746130031,61,6,10,14,-4,-10.6,-7.27083333333333,-4,-12.7,-8.96666666666667,-0.1,-14.9,-9.33472222222222,-2.9,-6.8,-5.5125,-2.9,-13.1,-7.34166666666667,-2.9,-22.4,-10.3958333333333,0,0,4,0.5,4,1.16666666666667
2011-11-22,5,248.297213622291,60.8328173374613,72.0061919504644,72.0061919504644,106,47,53,57,-0.4,-4.4,-2.54166666666667,-0.4,-10.6,-4.90625,-0.4,-12.7,-6.825,-0.4,-4.1,-2.19166666666667,-0.4,-6.8,-3.85208333333333,-0.4,-13.1,-5.625,11,4.54166666666667,11,2.27083333333333,11,1.84722222222222
2011-11-23,4,269.402476780186,21.1052631578947,81.938080495356,93.1114551083591,109,3,50,56,-1.3,-3.2,-2.60416666666667,-0.4,-4.4,-2.57291666666667,-0.4,-10.6,-4.13888888888889,-1.9,-4.2,-3,-0.4,-4.2,-2.59583333333333,-0.4,-6.8,-3.56805555555556,9,2.70833333333333,11,3.625,11,2.41666666666667
2011-11-24,4,274.368421052632,4.96594427244582,26.0712074303406,86.9040247678018,113,7,10,57,-4.2,-6.2,-5.27916666666667,-1.3,-6.2,-3.94166666666667,-0.4,-6.2,-3.475,-3.3,-6.1,-5.37083333333333,-1.9,-6.1,-4.18541666666667,-0.4,-6.1,-3.52083333333333,9,4.625,9,3.66666666666667,11,3.95833333333333
2011-11-25,4,296.715170278638,22.3467492260062,27.312693498452,48.4179566563467,118,7,14,17,-0.9,-9.3,-4.6875,-0.9,-9.3,-4.98333333333333,-0.9,-9.3,-4.19027777777778,-2.6,-6.4,-4.45833333333333,-2.6,-6.4,-4.91458333333333,-1.9,-6.4,-4.27638888888889,7,3.58333333333333,9,4.10416666666667,9,3.63888888888889
2011-11-26,4,314.095975232198,17.3808049535604,39.7275541795665,44.6934984520124,133,15,22,29,-1.6,-6.1,-4.4,-0.9,-9.3,-4.54375,-0.9,-9.3,-4.78888888888889,2.4,-5.5,-2.1875,2.4,-6.4,-3.32291666666667,2.4,-6.4,-4.00555555555556,7,3.5,7,3.54166666666667,9,3.90277777777778
