"Date","Wind.Dir..10s.deg.","Wind.Spd..km.h.","Daily_max_wind","Daily_mean_wind","Two_Day_max_wind","Two_Day_mean_wind","Three_Day_max_wind","Three_Day_mean_wind"
2011-01-01 00:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 01:00:00,2,2,NA,NA,NA,NA,NA,NA
2011-01-01 02:00:00,6,2,NA,NA,NA,NA,NA,NA
2011-01-01 03:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 04:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 05:00:00,8,4,NA,NA,NA,NA,NA,NA
2011-01-01 06:00:00,36,2,NA,NA,NA,NA,NA,NA
2011-01-01 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 08:00:00,5,2,NA,NA,NA,NA,NA,NA
2011-01-01 09:00:00,6,2,NA,NA,NA,NA,NA,NA
2011-01-01 10:00:00,2,2,NA,NA,NA,NA,NA,NA
2011-01-01 11:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 12:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 13:00:00,22,2,NA,NA,NA,NA,NA,NA
2011-01-01 14:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-01 15:00:00,23,2,NA,NA,NA,NA,NA,NA
2011-01-01 16:00:00,25,2,NA,NA,NA,NA,NA,NA
2011-01-01 17:00:00,4,2,NA,NA,NA,NA,NA,NA
2011-01-01 18:00:00,8,2,NA,NA,NA,NA,NA,NA
2011-01-01 19:00:00,8,4,NA,NA,NA,NA,NA,NA
2011-01-01 20:00:00,8,2,NA,NA,NA,NA,NA,NA
2011-01-01 21:00:00,9,4,NA,NA,NA,NA,NA,NA
2011-01-01 22:00:00,6,2,NA,NA,NA,NA,NA,NA
2011-01-01 23:00:00,NA,0,4,1.58333333333333,4,1.58333333333333,4,1.58333333333333
2011-01-02 00:00:00,1,2,NA,NA,NA,NA,NA,NA
2011-01-02 01:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-02 02:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-02 03:00:00,8,4,NA,NA,NA,NA,NA,NA
2011-01-02 04:00:00,3,2,NA,NA,NA,NA,NA,NA
2011-01-02 05:00:00,4,2,NA,NA,NA,NA,NA,NA
2011-01-02 06:00:00,5,2,NA,NA,NA,NA,NA,NA
2011-01-02 07:00:00,3,2,NA,NA,NA,NA,NA,NA
2011-01-02 08:00:00,9,4,NA,NA,NA,NA,NA,NA
2011-01-02 09:00:00,4,2,NA,NA,NA,NA,NA,NA
2011-01-02 10:00:00,12,4,NA,NA,NA,NA,NA,NA
2011-01-02 11:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-02 12:00:00,12,2,NA,NA,NA,NA,NA,NA
2011-01-02 13:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-02 14:00:00,22,2,NA,NA,NA,NA,NA,NA
2011-01-02 15:00:00,22,2,NA,NA,NA,NA,NA,NA
2011-01-02 16:00:00,NA,0,NA,NA,NA,NA,NA,NA
2011-01-02 17:00:00,9,2,NA,NA,NA,NA,NA,NA
