Date,Total Snow,Daily Delta,Min,Max,Mean
2019-06-08,2.0,-1.0,-0.1,10.3,3.95217391304
2019-06-09,2.0,0.0,2.2,9.9,6.18260869565
2019-06-06,2.0,-2.0,0.1,7.0,3.05652173913
2019-06-07,3.0,1.0,0.0,7.3,3.15652173913
2019-06-04,3.0,0.0,1.9,10.4,6.24347826087
2019-06-05,4.0,1.0,2.7,9.6,5.51304347826
2019-06-02,4.0,-2.0,4.1,14.7,8.94782608696
2019-06-03,3.0,-1.0,4.3,8.2,6.55217391304
2019-06-01,6.0,3.0,8.6,16.2,12.0913043478
2015-11-19,76.0,-1.0,-12.6,-6.4,-8.92608695652
2015-11-18,77.0,7.0,-8.7,-4.1,-5.84347826087
2015-11-11,9.0,9.0,-3.6,-1.3,-2.62173913043
2015-11-10,0,0.0,-7.6,0.8,-3.32173913043
2015-11-13,39.0,27.0,-1.9,1.7,-0.265217391304
2015-11-12,12.0,3.0,-3.3,-0.5,-2.46086956522
2015-11-15,48.0,1.0,-7.6,-4.5,-6.5347826087
2015-11-14,47.0,8.0,-5.1,-1.8,-3.17826086957
2015-11-17,70.0,19.0,-3.2,0.5,-1.04347826087
2015-11-16,51.0,3.0,-11.9,-2.4,-7.56956521739
2018-03-21,555.0,7.0,-4.1,2.0,-1.25217391304
2018-10-22,7.0,-1.0,-1.8,12.1,2.64782608696
2018-10-23,9.0,2.0,1.8,13.0,6.80434782609
2018-10-20,16.0,-2.0,1.1,10.7,6.77391304348
2018-10-21,8.0,-8.0,-2.8,7.4,1.1347826087
2018-10-26,5.0,-2.0,-1.5,3.9,1.76086956522
2018-10-27,3.0,-2.0,-2.0,5.7,2.22173913043
2018-10-24,10.0,1.0,2.0,9.1,4.43043478261
2018-10-25,7.0,-3.0,1.7,4.9,3.4
2018-10-28,13.0,10.0,0.1,5.2,1.58695652174
2018-10-29,18.0,5.0,0.0,2.4,0.778260869565
2018-01-16,316.0,4.0,-0.5,5.2,1.68695652174
2013-01-01,218.0,-7.0,-13.2,-3.6,-9.71739130435
2015-12-15,231.0,3.0,-9.7,-0.6,-3.86956521739
2013-01-03,226.0,0.0,-5.5,0.6,-3.37391304348
2013-01-02,226.0,8.0,-7.4,3.0,-1.86956521739
2013-01-05,228.0,3.0,-4.5,0.5,-1.41739130435
2013-01-04,225.0,-1.0,-4.2,-0.2,-1.81304347826
2013-01-07,251.0,14.0,-3.2,0.2,-1.52608695652
2013-01-06,237.0,9.0,-4.8,-1.4,-3.28695652174
2013-01-09,267.0,21.0,-6.7,-0.5,-3.41304347826
2013-01-08,246.0,-5.0,-6.6,-2.3,-4.75217391304
2015-12-18,244.0,11.0,-10.3,-2.1,-6.49565217391
2015-12-19,247.0,3.0,-6.8,-2.5,-5.00869565217
2014-03-31,400.0,-3.0,-7.4,5.9,-1.87391304348
2014-03-30,403.0,3.0,-4.3,6.1,-0.55652173913
2018-09-08,4.0,0.0,4.9,9.6,6.98695652174
2012-03-19,758.0,-7.0,-15.5,-2.6,-9.42173913043
2012-03-18,765.0,-2.0,-12.3,-0.8,-7.03043478261
2016-09-08,0,0,3.1,11.0,6.92608695652
2016-09-09,0,0,4.1,12.3,7.69130434783
2018-03-28,563.0,-6.0,-4.4,1.9,-0.891304347826
2012-02-26,580.0,-3.0,-12.8,-4.3,-9.34782608696
2012-03-11,693.0,13.0,-7.5,-2.5,-4.07826086957
2012-03-10,680.0,11.0,-3.6,0.3,-1.58260869565
2012-03-13,716.0,-8.0,-8.1,-2.2,-6.29130434783
2012-03-12,724.0,31.0,-7.6,-2.2,-6.22608695652
2012-03-15,757.0,33.0,-3.8,0.8,-2.04347826087
2012-03-14,724.0,8.0,-8.3,-2.0,-6.55652173913
2012-03-17,767.0,4.0,-13.3,2.7,-7.2
2012-03-16,763.0,6.0,-7.5,1.4,-3.00434782609
2017-04-15,536.0,-3.0,-2.4,2.9,-0.378260869565
2017-04-14,539.0,-8.0,-2.9,1.9,-0.35652173913
2017-04-17,548.0,9.0,-2.0,4.3,0.452173913043
2017-04-16,539.0,3.0,-7.7,5.8,-1.93913043478
2017-04-11,528.0,-4.0,-8.3,4.9,-2.63913043478
2017-04-10,532.0,7.0,-4.4,2.4,-1.58695652174
2017-04-13,547.0,7.0,-1.8,2.6,-0.104347826087
2017-04-12,540.0,12.0,-6.1,2.8,-2.38695652174
2017-04-19,548.0,-2.0,-0.1,4.6,1.61739130435
2017-04-18,550.0,2.0,-0.2,4.3,1.37391304348
2018-01-31,485.0,0.0,-8.2,-4.0,-5.75217391304
2017-08-24,0,0,0.0,0.0,0.0
2017-08-25,0,0,0.0,0.0,0.0
2017-03-09,388.0,0.0,-15.1,-7.3,-11.5913043478
2017-03-08,388.0,-3.0,-9.5,-5.9,-7.55217391304
2016-05-31,0,0,2.7,15.7,8.41739130435
2016-05-30,0,0,0.7,12.7,6.04347826087
2017-08-22,0,0,0.0,0.0,0.0
2017-08-23,0,0,0.0,0.0,0.0
2017-03-03,386.0,15.0,-5.2,-1.2,-3.30869565217
2017-03-02,371.0,15.0,-4.9,0.4,-2.4347826087
2017-03-01,356.0,-2.0,-6.8,-2.7,-5.06956521739
2017-03-07,391.0,0.0,-10.1,-4.2,-7.95217391304
2017-03-06,391.0,1.0,-11.4,-6.6,-9.16086956522
2017-03-05,390.0,2.0,-19.3,-5.8,-14.5304347826
2017-03-04,388.0,2.0,-12.4,-5.5,-8.65217391304
2014-08-09,0,0,4.2,19.5,11.3434782609
2014-08-08,0,0,4.2,17.3,10.8695652174
2019-05-30,3.0,-3.0,4.1,20.2,11.6043478261
