Feature,Importance
date,12.964938142293605
wind_daily_avg,5.1210118296463225
wind_daily_max,4.3826728865570255
wind_avg_dir,6.377969591813176
Squam_integrated_SWE,7.030143842211331
Squam_Daily_tot_precip,16.12146191071816
Squam_Two_day_tot_precip,27.73360549333274
Squam_Three_day_tot_precip,23.175909691659367
Squam_Temperature,5.694062181247274
Squam_Daily_max_temp,4.820482861760875
Squam_Daily_min_temp,3.759033904963204
Squam_Daily_mean_temp,4.39674727228551
Squam_Two_Day_max_temp,4.401140972225853
Squam_Two_Day_min_temp,4.149383130750173
Squam_Two_Day_mean_temp,3.8712438281741273
Squam_Three_Day_max_temp,5.376554508588474
Squam_Three_Day_min_temp,4.887773183377781
Squam_Three_Day_mean_temp,4.0692680972473525
Nos_integrated_SWE,8.206407947098844
Nos_Daily_tot_precip,5.701876190220449
Nos_Two_day_tot_precip,5.7088423746520265
Nos_Three_day_tot_precip,8.902077151641993
Nos_Temperature,4.052083118959645
Nos_Daily_max_temp,3.6199466113851306
Nos_Daily_min_temp,4.953111042240706
Nos_Daily_mean_temp,3.4316222673104444
Nos_Two_Day_max_temp,3.3598596641445524
Nos_Two_Day_min_temp,6.099367667160187
Nos_Two_Day_mean_temp,3.7990928529448973
Nos_Three_Day_max_temp,3.875802348280345
Nos_Three_Day_min_temp,4.2392654666235465
Nos_Three_Day_mean_temp,4.073226633260449
month,3.0020135313588527
two_day_mean_wind,5.584842040760199
two_day_max_wind,5.440166562311662
three_day_mean_wind,5.550092177870547
three_day_max_wind,6.004768268938465
two_day_wind_avg_dir,7.590361521529381
three_day_wind_avg_dir,5.645712408926102
