"Date","Squam_integrated_SWE","Squam_Daily_tot_precip","Squam_Two_day_tot_precip","Squam_Three_day_tot_precip"
"2011-11-01",58.3498452012384,NA,NA,NA
"2011-11-02",58.3498452012384,0,NA,NA
"2011-11-03",74.4891640866873,16.1393188854489,16.1393188854489,NA
"2011-11-04",75.7306501547988,1.24148606811146,17.3808049535604,17.3808049535604
"2011-11-05",76.9721362229102,1.24148606811146,2.48297213622291,18.6222910216718
"2011-11-06",78.2136222910217,1.24148606811146,2.48297213622291,3.72445820433437
"2011-11-07",78.2136222910217,1.24148606811146,2.48297213622291,3.72445820433437
"2011-11-08",83.1795665634675,4.96594427244582,6.20743034055728,7.44891640866874
"2011-11-09",86.9040247678019,3.72445820433437,8.69040247678019,9.93188854489165
"2011-11-10",94.3529411764706,7.44891640866872,11.1733746130031,16.1393188854489
"2011-11-11",115.458204334365,21.1052631578947,28.5541795665635,32.2786377708978
"2011-11-12",129.114551083591,13.656346749226,34.7616099071207,42.2105263157895
"2011-11-13",135.321981424149,6.20743034055727,19.8637770897833,40.969040247678
"2011-11-14",136.56346749226,1.24148606811147,7.44891640866874,21.1052631578947
"2011-11-15",136.56346749226,0,1.24148606811147,7.44891640866874
"2011-11-16",145.25386996904,8.69040247678018,8.69040247678018,9.93188854489165
"2011-11-17",176.291021671827,31.0371517027864,39.7275541795665,39.7275541795665
"2011-11-18",176.291021671827,0,31.0371517027864,39.7275541795665
"2011-11-19",176.291021671827,0,0,31.0371517027864
"2011-11-20",176.291021671827,0,0,0
"2011-11-21",187.46439628483,11.1733746130031,11.1733746130031,11.1733746130031
"2011-11-22",248.297213622291,60.8328173374613,72.0061919504644,72.0061919504644
"2011-11-23",269.402476780186,21.1052631578947,81.938080495356,93.1114551083591
"2011-11-24",274.368421052632,4.96594427244582,26.0712074303406,86.9040247678018
"2011-11-25",296.715170278638,22.3467492260062,27.312693498452,48.4179566563467
"2011-11-26",314.095975232198,17.3808049535604,39.7275541795665,44.6934984520124
